Tamanho,Arvore,Operacao,Tempo
10000,Splay,Inserção,0.0034021
10000,Splay,Busca,0.0039985
10000,Splay,Remoção,0.0026764
50000,Splay,Inserção,0.0048676
50000,Splay,Busca,0.0090931
50000,Splay,Remoção,0.0047932
100000,Splay,Inserção,0.0080606
100000,Splay,Busca,0.0126284
100000,Splay,Remoção,0.0086292
250000,Splay,Inserção,0.0118255
250000,Splay,Busca,0.028077
250000,Splay,Remoção,0.015812
500000,Splay,Inserção,0.0688968
500000,Splay,Busca,0.0527638
500000,Splay,Remoção,0.0376403
1000000,Splay,Inserção,0.1161232
1000000,Splay,Busca,0.1089268
1000000,Splay,Remoção,0.086504
